"Source:","C:\Users\Daniel bilodeau\OneDrive\Documents\Projects\Fume_extractor\Ki_PCB\Ki_PCB.kicad_sch"
"Date:","2022-11-24 8:00:17 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","D:\Software\kicad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey link","Part number","Spice_Model","Spice_Netlist_Enabled","Spice_Primitive"
"","","C1","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B105KAFNNNE_Spec.pdf","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724","CL21B105KAFNNNE","","",""
"","","C2","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21A475KAQNNNG_DS.pdf","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21A475KAQNNNG/3894439","CL21A475KAQNNNG","","",""
"","","C3","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheets.kyocera-avx.com/X7RDielectric.pdf","https://www.digikey.ca/en/products/detail/kyocera-avx/08055C102KAT2A/563481","08055C102KAT2A","","",""
"","","C4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C6","10uF","Device:C_Polarized_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61H106KE43-01A.pdf","https://www.digikey.ca/en/products/detail/murata-electronics/GRM21BR61H106KE43K/15191954","GRM21BR61H106KE43K","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C10","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C11","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C12","330nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.we-online.com/katalog/datasheet/885012207101.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/885012207101/5453531","885012207101","","",""
"","","C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C14","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C15","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"","","C16","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"","","C17","15nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.we-online.com/katalog/datasheet/885012207123.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/885012207123/9346001","885012207123","","",""
"","","C18","120pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"","","C19","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"","","C20","180uF","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","",""
"","","D1","Green","Device:LED","LED_THT:LED_D3.0mm","~","","","","",""
"","","D3","RB520S30T5G","Diode:1N4001","Diode_SMD:D_SOD-523","https://www.onsemi.com/pdf/datasheet/rb520s30t1-d.pdf","https://www.digikey.ca/en/products/detail/onsemi/RB520S30T5G/2797277","RB520S30T5G","RB520S30T5G","Y","D"
"","","D4","RB520S30T5G","Diode:1N4001","Diode_SMD:D_SOD-523","https://www.onsemi.com/pdf/datasheet/rb520s30t1-d.pdf","https://www.digikey.ca/en/products/detail/onsemi/RB520S30T5G/2797277","RB520S30T5G","","",""
"","","D5","Yellow","LED:CQY99","LED_THT:LED_D3.0mm","https://www.prtice.info/IMG/pdf/CQY99.pdf","","","","",""
"","","D6","CRS05(TE85L,Q,M)","Device:D_Schottky","Diode_SMD:CRS05(TE85L,Q,M)","https://toshiba.semicon-storage.com/info/CRS05_datasheet_en_20190401.pdf?did=3163&prodName=CRS05","https://www.digikey.ca/en/products/detail/toshiba-semiconductor-and-storage/CRS05-TE85L-Q-M/871558","CRS05(TE85L,Q,M)","","",""
"","","J1","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"","","J2","B3B-XH-AM(LF)(SN)","Connector_Generic:Conn_01x03","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/B3B-XH-AM-LF-SN/1651029","B3B-XH-AM(LF)(SN)","","",""
"","","J3","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"","","J4","0470531000","Connector_Generic:Conn_01x04","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.molex.com/pdm_docs/sd/470531000_sd.pdf","https://www.digikey.ca/en/products/detail/molex/0470531000/2421261?s=N4IgTCBcDaIAwBYDscCsBmAjHHIC6AvkA","","","",""
"","","J5","4pin JST","Connector_Generic:Conn_01x04","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","","","","",""
"","","J6","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"","","L1","100uH","pspice:INDUCTOR","Inductor_SMD:74404063101","https://www.we-online.com/katalog/datasheet/74404063101.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/74404063101/4865679?s=N4IgTCBcDaIOwBYEAYUDYDMBGZWQF0BfIA","74404063101","","",""
